InvoiceNo,CustomerID,InvoiceDate,OrderRevenue,TotalUnits,UniqueProducts,InvoiceLines,Country
539019,17551,2010-12-15 14:12:00,290.34,142,39,39,United Kingdom
539030,13089,2010-12-15 14:25:00,755.3000000000001,390,18,18,United Kingdom
539032,18050,2010-12-15 14:25:00,74.4,40,5,5,United Kingdom
539033,16365,2010-12-15 14:26:00,228.6,36,1,1,United Kingdom
539034,16161,2010-12-15 14:29:00,209.65,83,21,22,United Kingdom
539036,14913,2010-12-15 14:35:00,300.87,423,17,17,United Kingdom
539038,15641,2010-12-15 14:45:00,308.37,357,20,20,United Kingdom
539039,13124,2010-12-15 15:00:00,1256.32,930,61,61,United Kingdom
539040,17214,2010-12-15 15:14:00,171.05,43,14,14,United Kingdom
539041,15456,2010-12-15 15:34:00,231.22,410,25,25,United Kingdom
539042,15062,2010-12-15 15:37:00,209.08,164,11,11,United Kingdom
539043,12928,2010-12-15 15:45:00,392.34000000000003,250,17,17,United Kingdom
539044,15727,2010-12-15 15:47:00,1516.95,535,65,66,United Kingdom
539046,17980,2010-12-15 15:50:00,295.2,235,15,15,United Kingdom
539047,15290,2010-12-15 16:03:00,219.6,168,8,8,United Kingdom
539048,17752,2010-12-15 16:19:00,80.64,192,1,1,United Kingdom
539049,15615,2010-12-15 16:21:00,1048.64,364,23,23,United Kingdom
539050,12577,2010-12-15 16:21:00,195.89,134,67,67,France
539051,15615,2010-12-15 16:24:00,14.850000000000001,3,1,1,United Kingdom
539052,15615,2010-12-15 16:26:00,17.700000000000003,6,1,1,United Kingdom
539053,16725,2010-12-15 16:32:00,196.85,68,44,47,United Kingdom
539056,16725,2010-12-15 16:38:00,1.45,1,1,1,United Kingdom
539064,17912,2010-12-15 16:50:00,58.7,8,6,6,United Kingdom
539075,17189,2010-12-15 17:28:00,226.57000000000002,102,36,37,United Kingdom
539076,16525,2010-12-16 08:03:00,391.0,96,5,5,United Kingdom
539077,13089,2010-12-16 08:05:00,314.54999999999995,177,3,3,United Kingdom
539078,13408,2010-12-16 08:10:00,379.68,330,9,9,United Kingdom
539079,17496,2010-12-16 08:39:00,271.05,79,10,10,United Kingdom
539080,16607,2010-12-16 08:41:00,404.82,113,7,7,United Kingdom
539082,13317,2010-12-16 09:22:00,205.8,78,12,12,United Kingdom
539083,13317,2010-12-16 09:23:00,32.25,15,2,2,United Kingdom
539084,13890,2010-12-16 09:31:00,190.35,93,11,11,United Kingdom
539085,12748,2010-12-16 09:35:00,164.64,120,3,3,United Kingdom
539086,17001,2010-12-16 09:35:00,397.96,260,12,12,United Kingdom
539087,13093,2010-12-16 09:44:00,1168.2,566,12,12,United Kingdom
539088,13093,2010-12-16 09:45:00,1827.91,737,24,24,United Kingdom
539089,15246,2010-12-16 09:46:00,186.0,86,12,12,United Kingdom
539091,13756,2010-12-16 09:52:00,163.8,50,5,5,United Kingdom
539092,15482,2010-12-16 10:08:00,351.84000000000003,172,5,5,United Kingdom
539093,15482,2010-12-16 10:10:00,196.60000000000002,68,2,2,United Kingdom
539094,13021,2010-12-16 10:12:00,157.35000000000002,57,7,7,United Kingdom
539095,16037,2010-12-16 10:18:00,300.46,160,15,15,United Kingdom
539096,13089,2010-12-16 10:19:00,313.2,216,1,1,United Kingdom
539098,14841,2010-12-16 10:28:00,395.16,274,19,19,United Kingdom
539099,16670,2010-12-16 10:30:00,403.61,256,29,29,United Kingdom
539101,16029,2010-12-16 10:35:00,6930.0,4800,11,11,United Kingdom
539102,16029,2010-12-16 10:37:00,1431.6,984,4,5,United Kingdom
539103,16985,2010-12-16 10:38:00,933.3199999999999,367,18,18,United Kingdom
539105,14825,2010-12-16 10:43:00,212.33,69,8,8,United Kingdom
539106,16705,2010-12-16 10:51:00,920.52,632,12,12,United Kingdom
539107,16705,2010-12-16 10:52:00,211.2,96,3,3,United Kingdom
539108,16013,2010-12-16 11:03:00,204.0,48,1,1,United Kingdom
539109,16013,2010-12-16 11:07:00,1491.0,800,2,2,United Kingdom
539111,14414,2010-12-16 11:11:00,217.2,146,8,8,United Kingdom
539112,13468,2010-12-16 11:15:00,328.77,119,19,19,United Kingdom
539113,12494,2010-12-16 11:24:00,4.949999999999999,3,1,1,France
539118,15563,2010-12-16 11:27:00,270.19,315,22,22,United Kingdom
539142,14849,2010-12-16 11:35:00,164.6,107,8,8,United Kingdom
539143,14849,2010-12-16 11:35:00,46.45,11,3,3,United Kingdom
539144,12980,2010-12-16 11:36:00,889.32,100,3,3,United Kingdom
539160,16746,2010-12-16 11:43:00,311.64,236,11,11,United Kingdom
539181,12748,2010-12-16 11:51:00,131.96,72,30,30,United Kingdom
539185,16470,2010-12-16 11:53:00,216.34,99,39,39,United Kingdom
539196,18055,2010-12-16 12:09:00,750.64,252,35,35,United Kingdom
539201,14878,2010-12-16 12:11:00,322.01,135,13,13,United Kingdom
539211,16743,2010-12-16 12:15:00,430.28000000000003,338,30,30,United Kingdom
539212,17146,2010-12-16 12:20:00,298.25,91,16,16,United Kingdom
539213,12877,2010-12-16 12:23:00,150.06,170,14,14,United Kingdom
539214,17062,2010-12-16 12:31:00,141.3,78,13,13,United Kingdom
539215,15574,2010-12-16 12:42:00,210.75,126,37,37,United Kingdom
539216,12748,2010-12-16 12:42:00,16.15,3,2,2,United Kingdom
539217,15394,2010-12-16 12:46:00,587.66,242,24,24,United Kingdom
539218,15574,2010-12-16 12:48:00,3.75,1,1,1,United Kingdom
539219,17951,2010-12-16 12:55:00,114.0,102,4,4,United Kingdom
539222,14621,2010-12-16 13:00:00,305.7,130,16,16,United Kingdom
539225,15379,2010-12-16 13:02:00,1491.46,768,61,61,United Kingdom
539226,14309,2010-12-16 13:05:00,147.75,103,6,6,United Kingdom
539240,15194,2010-12-16 13:15:00,843.78,902,44,44,United Kingdom
539243,18116,2010-12-16 13:21:00,172.2,46,28,28,United Kingdom
539246,14606,2010-12-16 13:33:00,104.48,37,19,19,United Kingdom
539247,15311,2010-12-16 13:33:00,228.5,126,16,16,United Kingdom
539248,17288,2010-12-16 13:33:00,133.56,156,7,7,United Kingdom
539249,14709,2010-12-16 13:43:00,314.1,108,15,15,United Kingdom
539250,15157,2010-12-16 13:44:00,1085.46,1078,54,54,United Kingdom
539252,17744,2010-12-16 14:17:00,377.52,544,19,19,United Kingdom
539254,13199,2010-12-16 14:25:00,243.11999999999998,216,7,7,United Kingdom
539255,16316,2010-12-16 14:26:00,308.21999999999997,230,20,20,United Kingdom
539256,15601,2010-12-16 14:27:00,468.07,269,28,28,United Kingdom
539257,16210,2010-12-16 14:29:00,1722.9,532,6,6,United Kingdom
539259,13050,2010-12-16 14:32:00,301.44,236,19,19,United Kingdom
539261,15620,2010-12-16 14:34:00,424.49,395,31,31,United Kingdom
539262,15789,2010-12-16 14:35:00,351.3,438,25,25,United Kingdom
539263,16560,2010-12-16 14:36:00,332.18,169,20,20,United Kingdom
539264,15224,2010-12-16 15:02:00,310.48,150,12,12,United Kingdom
539266,17068,2010-12-16 15:07:00,131.3,38,7,7,United Kingdom
539267,13534,2010-12-16 15:23:00,253.5,130,9,9,United Kingdom
539268,13534,2010-12-16 15:24:00,29.700000000000003,6,2,2,United Kingdom
539269,17580,2010-12-16 15:27:00,46.85,11,3,3,United Kingdom
539272,15759,2010-12-16 15:29:00,97.24000000000001,32,4,4,United Kingdom
539275,13408,2010-12-16 15:34:00,403.79999999999995,156,6,6,United Kingdom
539280,14373,2010-12-16 15:40:00,76.55,17,4,4,United Kingdom
539281,18176,2010-12-16 15:45:00,476.35,283,30,30,United Kingdom
539282,16770,2010-12-16 15:45:00,131.4,64,6,6,United Kingdom
539283,14092,2010-12-16 15:47:00,250.65,95,13,13,United Kingdom
539285,15366,2010-12-16 15:59:00,105.54,61,8,8,United Kingdom
539286,14735,2010-12-16 16:05:00,252.2,68,5,5,United Kingdom
539288,17857,2010-12-16 16:28:00,5.5,10,1,1,United Kingdom
539290,16271,2010-12-16 16:36:00,133.22,128,16,16,United Kingdom
539292,16539,2010-12-16 16:42:00,304.9,54,9,9,United Kingdom
539293,18223,2010-12-16 16:42:00,501.69,195,21,21,United Kingdom
539294,15532,2010-12-16 16:45:00,353.8,91,48,49,United Kingdom
539295,13767,2010-12-16 16:54:00,348.8,168,10,10,United Kingdom
539296,16816,2010-12-16 17:01:00,75.78,48,5,5,United Kingdom
539297,17691,2010-12-16 17:20:00,147.9,76,10,10,United Kingdom
539298,14180,2010-12-16 17:29:00,136.25,29,9,9,United Kingdom
539299,14180,2010-12-16 17:30:00,218.85,31,11,11,United Kingdom
539303,16684,2010-12-16 17:34:00,436.86,202,8,8,United Kingdom
539304,16684,2010-12-16 17:36:00,302.40000000000003,144,1,1,United Kingdom
539305,14334,2010-12-16 17:37:00,320.15,225,20,20,United Kingdom
539306,17659,2010-12-16 17:38:00,112.15,21,5,5,United Kingdom
539307,13694,2010-12-16 17:43:00,2054.92,2856,40,40,United Kingdom
539308,17412,2010-12-16 17:48:00,250.46,160,13,13,United Kingdom
539309,16945,2010-12-16 17:49:00,279.85,157,19,19,United Kingdom
539310,14344,2010-12-16 17:51:00,15.0,4,1,1,United Kingdom
539311,14643,2010-12-16 17:53:00,357.94,386,15,15,United Kingdom
539312,15197,2010-12-16 18:01:00,556.5,78,3,3,United Kingdom
539313,14220,2010-12-16 18:18:00,312.98,134,11,11,United Kingdom
539314,13874,2010-12-16 18:20:00,540.45,180,18,18,United Kingdom
539315,18260,2010-12-16 18:23:00,230.70000000000002,58,11,11,United Kingdom
539316,17848,2010-12-16 18:38:00,97.3,22,5,5,United Kingdom
539317,17392,2010-12-16 19:04:00,271.77,178,41,43,United Kingdom
539318,12348,2010-12-16 19:09:00,892.8,1254,13,17,Finland
539319,12967,2010-12-16 19:10:00,292.5,78,4,4,United Kingdom
539320,14911,2010-12-16 19:16:00,707.0600000000001,358,18,18,EIRE
539321,14723,2010-12-16 19:19:00,208.46,85,40,42,United Kingdom
539322,14713,2010-12-16 19:22:00,126.9,77,19,19,United Kingdom
539324,14985,2010-12-16 19:51:00,119.77,85,45,46,United Kingdom
539325,13004,2010-12-17 08:20:00,357.01,255,23,23,United Kingdom
539326,14560,2010-12-17 09:22:00,408.16999999999996,69,14,14,United Kingdom
539327,12600,2010-12-17 09:24:00,198.3,43,5,5,Germany
539328,13854,2010-12-17 09:37:00,300.04,212,8,8,United Kingdom
539330,12370,2010-12-17 09:38:00,277.2,51,8,8,Austria
539331,16013,2010-12-17 09:39:00,216.0,300,1,1,United Kingdom
539332,12931,2010-12-17 09:45:00,144.0,200,1,1,United Kingdom
539333,13627,2010-12-17 09:52:00,311.19,197,20,20,United Kingdom
539334,12748,2010-12-17 10:12:00,25.95,10,10,10,United Kingdom
539335,15291,2010-12-17 10:32:00,320.1,46,4,4,United Kingdom
539336,17790,2010-12-17 10:34:00,115.9,58,4,4,United Kingdom
539338,17404,2010-12-17 10:54:00,2646.2999999999997,3714,25,25,Sweden
539351,12551,2010-12-17 11:23:00,168.0,100,10,10,Spain
539353,12782,2010-12-17 11:30:00,463.5,193,22,22,Portugal
539374,14769,2010-12-17 11:40:00,347.01,189,22,22,United Kingdom
539379,15780,2010-12-17 11:43:00,177.15,65,12,12,United Kingdom
539391,12417,2010-12-17 11:51:00,291.34,60,11,11,Belgium
539395,12471,2010-12-17 11:52:00,1484.25,444,27,27,Germany
539398,12471,2010-12-17 11:53:00,29.700000000000003,6,1,1,Germany
539400,12971,2010-12-17 12:00:00,53.400000000000006,24,3,3,United Kingdom
539401,12709,2010-12-17 12:02:00,792.99,133,7,7,Germany
539403,12647,2010-12-17 12:21:00,224.8,83,11,11,Germany
539404,17315,2010-12-17 12:24:00,108.92,60,27,27,United Kingdom
539405,12621,2010-12-17 12:38:00,919.04,328,18,18,Germany
539406,16711,2010-12-17 12:43:00,214.20000000000002,36,1,1,United Kingdom
539407,12726,2010-12-17 12:56:00,170.28,333,6,6,France
539408,12720,2010-12-17 12:56:00,183.74,224,15,15,Germany
539410,16353,2010-12-17 13:17:00,102.0,24,1,1,United Kingdom
539411,14243,2010-12-17 13:29:00,258.7,114,11,11,United Kingdom
539414,16931,2010-12-17 13:45:00,212.61,100,40,40,United Kingdom
539415,15204,2010-12-17 13:49:00,316.58,258,9,9,United Kingdom
539416,17888,2010-12-17 13:56:00,29.43,52,3,3,United Kingdom
539417,17007,2010-12-17 13:57:00,72.0,32,4,4,United Kingdom
539418,17007,2010-12-17 13:58:00,135.12,72,8,8,United Kingdom
539419,12431,2010-12-17 14:10:00,348.2,136,9,9,Australia
539420,15160,2010-12-17 14:15:00,158.16,84,4,4,United Kingdom
539421,14016,2010-12-17 14:21:00,753.74,374,39,39,EIRE
539422,13033,2010-12-17 14:23:00,190.55,83,11,11,United Kingdom
539423,15811,2010-12-17 14:24:00,148.95,33,7,7,United Kingdom
539435,12691,2010-12-17 14:46:00,180.0,65,5,5,France
539439,13869,2010-12-17 15:14:00,323.62,156,21,21,United Kingdom
539440,16607,2010-12-17 15:15:00,250.0,2,1,1,United Kingdom
539442,16558,2010-12-17 15:39:00,311.15000000000003,127,15,15,United Kingdom
539443,14031,2010-12-17 15:52:00,668.88,304,6,6,United Kingdom
539444,14146,2010-12-17 15:52:00,1241.43,551,35,35,United Kingdom
539445,17865,2010-12-17 15:57:00,323.38,54,6,6,United Kingdom
539446,12705,2010-12-17 15:58:00,858.0,397,30,30,Germany
539447,12395,2010-12-17 16:00:00,333.82,225,19,19,Belgium
539450,15570,2010-12-17 16:53:00,196.75,78,27,29,United Kingdom
539452,15856,2010-12-17 17:06:00,741.22,266,9,9,United Kingdom
539454,17377,2010-12-17 17:12:00,196.78,66,9,9,United Kingdom
539455,12748,2010-12-17 17:17:00,121.02,87,27,28,United Kingdom
539456,16885,2010-12-17 17:23:00,177.95,35,27,28,United Kingdom
539459,12839,2010-12-17 17:33:00,334.84000000000003,167,14,15,United Kingdom
539460,12931,2010-12-17 18:07:00,33.0,20,1,1,United Kingdom
539461,17243,2010-12-19 10:21:00,244.55,89,13,13,United Kingdom
539462,14032,2010-12-19 11:19:00,315.56,213,15,15,United Kingdom
539463,18077,2010-12-19 11:19:00,191.46,135,17,17,United Kingdom
539464,17913,2010-12-19 11:35:00,218.05,100,31,31,United Kingdom
539465,16684,2010-12-19 11:38:00,2062.44,876,12,12,United Kingdom
539466,12668,2010-12-19 12:46:00,469.87,337,24,24,Germany
539468,15044,2010-12-19 13:31:00,663.8000000000001,176,26,26,United Kingdom
539469,17841,2010-12-19 13:59:00,283.52,152,34,34,United Kingdom
539470,14472,2010-12-19 14:03:00,246.38,96,29,31,United Kingdom
539471,17358,2010-12-19 14:16:00,241.66000000000003,145,40,41,United Kingdom
539472,15581,2010-12-19 14:23:00,29.52,18,14,15,United Kingdom
539473,14911,2010-12-19 14:24:00,411.1,155,18,18,EIRE
539474,15581,2010-12-19 14:27:00,12.8,8,7,7,United Kingdom
539475,16686,2010-12-19 14:41:00,351.13,313,79,80,United Kingdom
539477,18245,2010-12-19 14:58:00,365.73,297,27,27,United Kingdom
539478,17343,2010-12-19 15:07:00,193.64,56,17,17,United Kingdom
539483,17218,2010-12-19 15:31:00,99.5,24,9,9,United Kingdom
539484,15640,2010-12-19 15:44:00,892.24,484,55,57,United Kingdom
539487,16153,2010-12-20 09:22:00,215.01,75,10,10,United Kingdom
539488,12377,2010-12-20 09:37:00,1001.52,604,43,43,Switzerland
539489,16684,2010-12-20 09:41:00,311.7,126,2,2,United Kingdom
539490,17069,2010-12-20 10:00:00,306.15000000000003,129,15,15,United Kingdom
539491,14646,2010-12-20 10:09:00,70.96000000000001,46,16,16,Netherlands
539496,13050,2010-12-20 10:38:00,269.5,185,16,16,United Kingdom
539497,12944,2010-12-20 10:41:00,286.95,145,14,14,United Kingdom
539498,15279,2010-12-20 10:48:00,290.51,189,19,19,United Kingdom
539501,17085,2010-12-20 11:08:00,287.45,136,30,30,United Kingdom
539502,14099,2010-12-20 11:14:00,383.52,411,40,40,United Kingdom
539551,12721,2010-12-20 11:38:00,286.6,129,15,15,France
539561,16422,2010-12-20 11:41:00,339.72,336,8,8,United Kingdom
539564,18092,2010-12-20 11:45:00,756.12,196,6,6,United Kingdom
539567,13104,2010-12-20 11:58:00,101.76,96,1,1,United Kingdom
539570,15078,2010-12-20 12:05:00,327.6,144,14,14,United Kingdom
539571,15078,2010-12-20 12:06:00,15.9,2,1,1,United Kingdom
539572,14113,2010-12-20 12:14:00,433.5,102,2,2,United Kingdom
539578,13027,2010-12-20 12:45:00,1440.0,3600,6,6,United Kingdom
539579,16713,2010-12-20 12:51:00,344.11,111,43,43,United Kingdom
539580,15312,2010-12-20 12:51:00,289.74,177,16,16,United Kingdom
539581,16143,2010-12-20 12:51:00,455.6,82,11,11,United Kingdom
539586,14298,2010-12-20 13:08:00,962.24,1362,27,27,United Kingdom
539587,14298,2010-12-20 13:10:00,754.16,684,20,20,United Kingdom
539588,14527,2010-12-20 13:11:00,138.85,24,19,19,United Kingdom
539590,14733,2010-12-20 13:21:00,832.0799999999999,360,17,17,United Kingdom
539591,14062,2010-12-20 13:24:00,237.60000000000002,48,1,1,United Kingdom
539592,13319,2010-12-20 13:27:00,14.850000000000001,3,1,1,United Kingdom
539593,13319,2010-12-20 13:31:00,776.95,325,32,32,United Kingdom
539594,17621,2010-12-20 13:31:00,239.4,92,4,4,United Kingdom
539597,17090,2010-12-20 13:52:00,61.199999999999996,24,2,2,United Kingdom
539604,16353,2010-12-20 14:06:00,102.0,24,1,1,United Kingdom
539607,12681,2010-12-20 14:10:00,1084.59,604,47,47,France
539609,15527,2010-12-20 14:15:00,221.4,62,17,18,United Kingdom
539610,14606,2010-12-20 14:33:00,109.88,33,26,26,United Kingdom
539628,18097,2010-12-20 14:49:00,182.52,256,7,7,United Kingdom
539629,14062,2010-12-20 14:51:00,239.9,82,6,6,United Kingdom
539630,17230,2010-12-20 14:59:00,751.0,244,12,12,United Kingdom
539633,17230,2010-12-20 15:09:00,73.80000000000001,36,3,3,United Kingdom
539634,17230,2010-12-20 15:12:00,144.5,150,2,2,United Kingdom
539635,14051,2010-12-20 15:14:00,728.0400000000001,192,12,13,United Kingdom
539636,12481,2010-12-20 15:15:00,631.96,234,12,12,Germany
539637,14083,2010-12-20 15:22:00,112.68,50,19,19,United Kingdom
539639,14083,2010-12-20 15:26:00,37.67,15,10,10,United Kingdom
539641,15311,2010-12-20 15:30:00,134.14,45,8,8,United Kingdom
539642,15867,2010-12-20 15:35:00,242.92000000000002,142,43,43,United Kingdom
539645,17230,2010-12-20 16:03:00,0.95,1,1,1,United Kingdom
539646,17230,2010-12-20 16:04:00,28.5,30,1,1,United Kingdom
539647,15460,2010-12-20 16:08:00,214.26,107,53,56,United Kingdom
539653,13564,2010-12-20 16:50:00,637.98,380,38,40,United Kingdom
539654,17340,2010-12-20 17:05:00,1689.12,789,50,50,United Kingdom
539658,17213,2010-12-21 09:34:00,302.95,125,16,16,United Kingdom
539659,15034,2010-12-21 09:47:00,820.4,448,38,38,United Kingdom
539660,15581,2010-12-21 09:48:00,9.2,8,4,4,United Kingdom
539662,14135,2010-12-21 10:18:00,117.60000000000001,24,4,4,United Kingdom
539663,17961,2010-12-21 10:26:00,396.84999999999997,79,42,42,United Kingdom
539664,14135,2010-12-21 10:30:00,25.200000000000003,12,1,1,United Kingdom
539666,16029,2010-12-21 10:41:00,479.4,236,4,4,United Kingdom
539675,12971,2010-12-21 10:51:00,114.60000000000001,28,2,2,United Kingdom
539676,12423,2010-12-21 10:54:00,237.93,188,16,16,Belgium
539688,12678,2010-12-21 11:00:00,150.0,1,1,1,France
539716,17990,2010-12-21 12:57:00,148.0,52,5,5,United Kingdom
539717,15208,2010-12-21 13:03:00,65.4,20,3,3,United Kingdom
539720,16996,2010-12-21 13:22:00,97.84,40,3,3,United Kingdom
539721,17306,2010-12-21 13:34:00,324.0,1296,1,1,United Kingdom
539722,14911,2010-12-21 13:45:00,762.3000000000001,344,28,28,EIRE
539723,14737,2010-12-21 13:49:00,434.0,150,8,8,United Kingdom
539724,13029,2010-12-21 13:53:00,382.5,30,1,1,United Kingdom
539725,17211,2010-12-21 13:58:00,182.19,101,20,20,United Kingdom
539727,12678,2010-12-21 14:26:00,71.28,25,4,4,France
539728,16270,2010-12-21 14:26:00,1141.24,688,54,54,United Kingdom
539730,13487,2010-12-21 14:54:00,193.15,85,11,11,United Kingdom
539731,14646,2010-12-21 15:05:00,8520.92,6668,54,54,Netherlands
539732,16996,2010-12-21 15:09:00,29.700000000000003,6,1,1,United Kingdom
539752,12515,2010-12-21 15:43:00,383.7,131,16,16,Italy
539754,12748,2010-12-21 16:06:00,69.29,20,16,16,United Kingdom
539755,17961,2010-12-21 16:08:00,45.35,7,6,6,United Kingdom
539760,17400,2010-12-21 17:16:00,424.17,250,37,37,United Kingdom
539761,17593,2010-12-22 10:29:00,662.9,374,26,26,United Kingdom
539762,13953,2010-12-22 10:29:00,500.0,400,1,1,United Kingdom
539764,14533,2010-12-22 11:07:00,433.5,540,10,10,United Kingdom
539766,14092,2010-12-22 11:11:00,351.08,150,28,28,United Kingdom
539826,15044,2010-12-22 12:39:00,615.6,167,31,31,United Kingdom
539828,15044,2010-12-22 12:44:00,23.8,4,1,1,United Kingdom
539829,12734,2010-12-22 12:47:00,110.39999999999999,88,4,4,France
539831,14606,2010-12-22 13:17:00,108.63,36,16,16,United Kingdom
539835,16477,2010-12-22 13:39:00,318.75,193,19,19,United Kingdom
539836,17894,2010-12-22 13:46:00,135.34,72,21,21,United Kingdom
539837,14532,2010-12-22 13:48:00,222.6,28,14,14,United Kingdom
539840,12383,2010-12-22 14:28:00,600.72,754,37,37,Belgium
539858,18092,2010-12-22 16:19:00,610.8,168,3,3,United Kingdom
539859,17905,2010-12-22 16:23:00,192.4,100,5,5,United Kingdom
539864,15562,2010-12-23 09:55:00,134.55,39,1,1,United Kingdom
539865,15587,2010-12-23 09:59:00,344.88,120,3,3,United Kingdom
539867,13922,2010-12-23 10:38:00,172.25,93,7,7,United Kingdom
539920,14085,2010-12-23 11:06:00,390.95,153,32,32,United Kingdom
539921,12748,2010-12-23 11:09:00,20.3,5,5,5,United Kingdom
539933,15235,2010-12-23 11:24:00,529.59,333,34,34,United Kingdom
539946,13817,2010-12-23 11:46:00,128.7,63,9,9,Germany
539953,12748,2010-12-23 12:03:00,12.35,5,4,4,United Kingdom
539954,13777,2010-12-23 12:04:00,121.62,66,3,3,United Kingdom
539957,12585,2010-12-23 12:58:00,1262.85,872,65,65,Germany
539978,13165,2010-12-23 14:06:00,354.64,496,13,13,United Kingdom
539981,13304,2010-12-23 14:35:00,300.42,238,21,21,United Kingdom
539982,15311,2010-12-23 14:40:00,256.61,65,20,20,United Kingdom
539984,14911,2010-12-23 14:58:00,289.85,108,15,15,EIRE
539985,15856,2010-12-23 15:16:00,968.77,387,14,14,United Kingdom
539987,12748,2010-12-23 15:32:00,6.95,1,1,1,United Kingdom
539988,18116,2010-12-23 16:06:00,349.49,176,88,88,United Kingdom
539993,13313,2011-01-04 10:00:00,307.3,171,17,17,United Kingdom
540001,18097,2011-01-04 10:22:00,474.66,270,9,9,United Kingdom
540002,16656,2011-01-04 10:23:00,310.28,188,4,4,United Kingdom
540003,16875,2011-01-04 10:37:00,368.8,140,22,22,United Kingdom
540004,13094,2011-01-04 10:37:00,76.32000000000001,72,1,1,United Kingdom
540005,17315,2011-01-04 10:38:00,189.60999999999999,137,14,15,United Kingdom
540013,16255,2011-01-04 11:30:00,299.6,183,34,34,United Kingdom
540014,14606,2011-01-04 11:34:00,338.83,154,57,57,United Kingdom
540015,13319,2011-01-04 11:40:00,510.89,286,28,28,United Kingdom
540016,16282,2011-01-04 11:42:00,168.3,114,11,11,United Kingdom
540017,13963,2011-01-04 11:48:00,215.41,265,13,13,United Kingdom
540019,12957,2011-01-04 12:18:00,413.68,352,29,29,United Kingdom
540020,14462,2011-01-04 12:45:00,109.3,34,3,3,United Kingdom
540021,17841,2011-01-04 12:51:00,514.02,229,70,70,United Kingdom
540022,17188,2011-01-04 12:57:00,388.72,270,10,10,United Kingdom
540023,15039,2011-01-04 12:58:00,791.61,327,45,45,United Kingdom
540024,15039,2011-01-04 13:03:00,23.8,4,1,1,United Kingdom
540025,17428,2011-01-04 13:22:00,323.04,504,11,11,United Kingdom
540027,14210,2011-01-04 13:30:00,363.66,238,22,22,United Kingdom
540028,14180,2011-01-04 13:38:00,284.6,36,13,13,United Kingdom
540029,16029,2011-01-04 13:47:00,90.0,24,1,1,United Kingdom
540031,17975,2011-01-04 13:50:00,431.88000000000005,135,30,30,United Kingdom
540032,13397,2011-01-04 13:50:00,299.92,88,8,8,United Kingdom
540033,13680,2011-01-04 14:12:00,871.48,526,49,49,United Kingdom
540040,12483,2011-01-04 14:20:00,547.56,293,13,13,Sweden
540043,15164,2011-01-04 14:21:00,168.44,48,15,15,United Kingdom
540059,17457,2011-01-04 14:33:00,385.8,264,4,4,United Kingdom
540060,14732,2011-01-04 14:40:00,203.1,58,10,10,United Kingdom
540073,16814,2011-01-04 14:47:00,644.13,199,22,22,United Kingdom
540093,16725,2011-01-04 15:24:00,106.35000000000001,25,14,16,United Kingdom
540094,14221,2011-01-04 15:33:00,312.95,169,18,18,United Kingdom
540095,14553,2011-01-04 15:40:00,201.94,131,23,23,United Kingdom
540096,13253,2011-01-04 15:43:00,476.48,624,16,16,United Kingdom
540098,16241,2011-01-04 15:50:00,158.73,70,56,56,United Kingdom
540099,15808,2011-01-04 16:41:00,733.92,322,41,41,United Kingdom
540113,13126,2011-01-05 09:11:00,323.87,265,18,18,United Kingdom
540114,15498,2011-01-05 09:44:00,243.4,320,9,9,United Kingdom
540115,15235,2011-01-05 09:51:00,112.65,75,8,8,United Kingdom
540120,17675,2011-01-05 10:08:00,969.36,408,22,22,United Kingdom
540121,16145,2011-01-05 10:35:00,366.06,238,17,17,United Kingdom
540122,13694,2011-01-05 10:39:00,1179.6,1720,23,23,United Kingdom
540126,13798,2011-01-05 10:45:00,1209.1,886,8,10,United Kingdom
540130,13798,2011-01-05 10:46:00,393.9,138,2,2,United Kingdom
540146,15002,2011-01-05 10:51:00,261.5,138,24,25,United Kingdom
540148,14189,2011-01-05 10:58:00,364.8,510,22,22,United Kingdom
540149,12921,2011-01-05 11:00:00,481.7,344,24,24,United Kingdom
540153,15841,2011-01-05 11:25:00,331.6,132,7,7,United Kingdom
540157,15311,2011-01-05 11:41:00,1145.33,591,51,51,United Kingdom
540159,16112,2011-01-05 11:47:00,72.0,192,2,2,United Kingdom
540160,15769,2011-01-05 11:50:00,2574.48,1032,3,3,United Kingdom
540161,16719,2011-01-05 11:52:00,152.45,148,16,16,United Kingdom
540162,13089,2011-01-05 11:52:00,95.65,33,6,6,United Kingdom
540163,13089,2011-01-05 11:52:00,958.93,1068,54,54,United Kingdom
540166,13629,2011-01-05 12:09:00,660.0,400,3,3,United Kingdom
540167,16600,2011-01-05 12:13:00,125.86,182,9,9,United Kingdom
540168,13715,2011-01-05 12:15:00,445.22,239,51,52,United Kingdom
540169,14527,2011-01-05 12:20:00,229.75,33,24,24,United Kingdom
540170,13767,2011-01-05 12:21:00,170.4,56,5,5,United Kingdom
540172,18109,2011-01-05 12:29:00,138.98000000000002,54,17,18,United Kingdom
540173,15661,2011-01-05 12:32:00,116.0,80,1,1,United Kingdom
540174,16353,2011-01-05 12:35:00,102.0,24,1,1,United Kingdom
540175,16532,2011-01-05 12:37:00,1910.4,480,1,1,United Kingdom
540176,17511,2011-01-05 12:40:00,3862.14,1914,34,34,United Kingdom
540178,12681,2011-01-05 12:42:00,556.07,362,34,34,France
540179,16033,2011-01-05 12:54:00,481.14,137,54,54,United Kingdom
540180,15984,2011-01-05 13:05:00,107.89,56,11,12,United Kingdom
